label,Estimation
142,26.89
691,27.46
1438,27.65
725,25.84
336,27.46
1858,25.84
3319,27.57
5400,27.25
4973,27.59
3668,27.29
4778,26.69
3683,27.48
5062,25.07
7418,26.75
2980,26.66
7006,24.07
6359,26.68
6118,27.62
7274,28.08
9219,26.24
6836,24.18
6877,27.54
6985,23.33
6094,24.89
5603,27.25
8268,27.60
8766,27.43
8996,27.01
7563,19.79
9052,25.29
8927,24.60
8713,21.27
9961,25.36
10023,22.06
11142,23.63
8940,20.08
9315,22.29
9287,19.04
9733,27.58
11215,25.42
11651,28.59
12264,24.55
11359,17.62
12657,19.36
8972,27.33
11578,20.96
11056,23.99
13435,13.29
11970,23.65
12463,22.17
15598,13.44
13984,19.15
14600,24.61
14398,25.01
14510,21.27
13956,21.67
13470,22.15
16123,26.05
14364,15.88
15258,21.07
18653,27.51
17449,27.43
16930,19.04
18446,25.52
18042,15.58
16346,16.58
18179,22.81
16140,20.11
19191,25.63
20268,25.24
19586,25.18
19694,26.48
20669,18.95
20534,25.04
18269,26.37
18780,22.25
22162,18.09
22571,27.31
22552,24.48
19560,24.37
19790,26.81
23715,27.54
23346,22.60
24074,26.98
24244,22.34
26307,27.16
25012,25.69
27465,25.13
28571,19.62
