label,VV_mean.29,Inc_mean.29,NDVI_median.29
142,0.1044,32.5805,62.9174999999999
691,0.1558,32.5805,66.6807
1438,0.1556,32.5805,73.0263
725,0.0908,32.5805,57.6997
336,0.1255,32.5805,66.308
1858,0.0952,32.5805,55.5022
3319,0.1328,32.5805,72.3649
5400,0.1186,32.5805,64.3071
4973,0.1295,32.5805,60.8616
3668,0.121,32.5805,39.702199999999905
4778,0.1032,32.5805,50.2092
3683,0.1524,32.5805,70.5227
5062,0.14,32.5805,41.686
7418,0.1031,32.5805,43.9908
2980,0.103,32.5805,41.969099999999905
7006,0.1109,32.5805,43.9125
6359,0.0906,32.5805,62.8374
6118,0.1209,32.5805,51.7173
7274,0.1488,32.5805,73.8847999999999
9219,0.1084,32.5805,59.8158
6836,0.1116,32.5805,44.497
6877,0.1492,32.5805,69.3820999999999
6985,0.111,32.5805,50.1246
6094,0.098,32.5805,40.26409999999991
5603,0.105,32.5805,66.9033
8268,0.1442,32.5805,65.0978
8766,0.1357,32.5805,65.162
8996,0.101,32.5805,49.80539999999989
7563,0.1171,32.5805,32.1120999999999
9052,0.1081,32.5805,56.155
8927,0.0908,32.5805,36.781999999999904
8713,0.1127,32.5805,42.011299999999906
9961,0.1127,32.5805,62.21829999999989
10023,0.1247,32.5805,48.5773999999999
11142,0.1087,32.5805,45.0178
8940,0.0902,32.5805,27.9656999999999
9315,0.1106,32.5805,40.5103
9287,0.1087,32.5805,34.3066
9733,0.1599,32.5805,48.0078
11215,0.1348,32.5805,52.8025
11651,0.1906,32.5805,69.6795
12264,0.1159,32.5805,58.2216
11359,0.1041,32.5805,26.5413
12657,0.1143,32.5805,30.5787
8972,0.1447,32.5805,59.0871
11578,0.1118,32.5805,40.405
11056,0.135,32.5805,51.62859999999989
13435,0.1313,32.5805,30.9735
11970,0.1503,32.5805,50.2668
12463,0.1395,32.5805,47.2819999999999
15598,0.1151,32.5805,50.00829999999989
13984,0.1597,32.5805,34.3455999999999
14600,0.1286,32.5805,50.5185
14398,0.1125,32.5805,38.936599999999906
14510,0.1167,32.5805,37.042
13956,0.1072,32.5805,48.2948
13470,0.1248,32.5805,43.941
16123,0.1238,32.5805,50.3457999999999
14364,0.1114,32.5805,31.7907
15258,0.1167,32.5805,48.5872
18653,0.1441,32.5805,60.4722999999999
17449,0.1487,32.5805,41.9091
16930,0.1054,32.5805,40.1563
18446,0.1081,32.5805,42.9382
18042,0.1002,32.5805,27.1266
16346,0.0976,32.5805,37.0604
18179,0.1043,32.5805,45.8275999999999
16140,0.1172,32.5805,32.5538999999999
19191,0.1541,32.5805,53.4127
20268,0.1292,32.5805,38.764299999999906
19586,0.1255,32.5805,35.6989
19694,0.1328,32.5805,44.101599999999905
20669,0.0879,32.5805,46.2770999999999
20534,0.1108,32.5805,42.9647
18269,0.1288,32.5805,48.26409999999989
18780,0.1162,32.5805,29.2730999999999
22162,0.1033,32.5805,42.200499999999906
22571,0.1314,32.5805,59.25809999999989
22552,0.1002,32.5805,45.31759999999989
19560,0.1098,32.5805,49.89229999999989
19790,0.1377,32.5805,41.859299999999905
23715,0.1481,32.5805,65.6805999999999
23346,0.1031,32.5805,55.0456999999999
24074,0.1157,32.5805,46.2239
24244,0.1166,32.5805,39.2772
26307,0.1193,32.5805,39.4802
25012,0.1067,32.5805,36.8688
27465,0.115,32.5805,47.0135999999999
28571,0.137,32.5805,30.6174
