,label,nbPixels,meanB0,varB0,mean__012019,nan___012019,mean_div_std,mean__022019,nan___022019,mean_div_std,mean__032019,nan___032019,mean_div_std,mean__042019,nan___042019,mean_div_std,mean__052019,nan___052019,mean_div_std,mean__062019,nan___062019,mean_div_std,mean__072019,nan___072019,mean_div_std,mean__082019,nan___082019,mean_div_std,mean__092019,nan___092019,mean_div_std,mean__102019,nan___102019,mean_div_std,mean__112019,nan___112019,mean_div_std,mean__122019,nan___122019,mean_div_std,mean__012020,nan___012020,mean_div_std,mean__022020,nan___022020,mean_div_std,mean__032020,nan___032020,mean_div_std,mean__042020,nan___042020,mean_div_std,mean__052020,nan___052020,mean_div_std,mean__062020,nan___062020,mean_div_std,mean__072020,nan___072020,mean_div_std,mean__082020,nan___082020,mean_div_std,mean__092020,nan___092020,mean_div_std,mean__102020,nan___102020,mean_div_std,mean__112020,nan___112020,mean_div_std,mean__122020,nan___122020,mean_div_std,mean__012021,nan___012021,mean_div_std,mean__022021,nan___022021,mean_div_std,mean__032021,nan___032021,mean_div_std,mean__042021,nan___042021,mean_div_std,mean__052021,nan___052021,mean_div_std,mean__062021,nan___062021,mean_div_std,mean__072021,nan___072021,mean_div_std,mean__082021,nan___082021,mean_div_std,mean__092021,nan___092021,mean_div_std,mean__102021,nan___102021,mean_div_std,mean__112021,nan___112021,mean_div_std,mean__122021,nan___122021,mean_div_std,mean__012022,nan___012022,mean_div_std,mean__022022,nan___022022,mean_div_std,mean__032022,nan___032022,mean_div_std
0,142,194,0.281380951404572,0.001297718496062,32.5853,0,34524077.3548,32.585,0,12554082.9169,32.5865,0,9310195.0494,32.5866,0,16910432.6428,32.5824,0,34520973.3548,32.586,0,276198997.5048,32.5876,0,14797085.6916,32.5864,0,28572652.215,32.5877,0,19270666.4036,32.5873,0,11351083.8333,32.5858,0,48740555.4971,32.5864,0,11197374.259,32.5821,0,276165888.1715,32.5762,0,41417388.9504,32.5779,0,7266585.8291,32.5822,0,25890562.0648,32.5803,0,12552295.7654,32.581,0,207117405.0102,32.5805,0,19725129.1551,32.5796,0,18409644.1003,32.5825,0,12553142.3108,32.5784,0,6790183.8664,32.5804,0,17259437.344,32.5792,0,11348255.5593,32.5789,0,12551731.4017,32.5779,0,28565159.8012,32.5758,0,75303418.6409,32.5777,0,34516058.6881,32.5805,0,19725129.1551,32.5805,0,10103121.1696,32.58,0,19724833.5361,32.5812,0,276157610.8381,32.5828,0,6791099.8008,32.5801,0,51777919.8373,32.5788,0,14533539.9388,32.5786,0,inf,32.5788,0,14793094.8345,32.5788,0,22389559.3288,32.5762,0,28563639.2495
1,691,203,0.396434605121613,0.000726359896362,32.5853,0,30964895.9063,32.585,0,11560110.0898,32.5865,0,15079093.4256,32.5866,0,25131937.4456,32.5824,0,30962111.9063,32.586,0,1734074305.7979,32.5876,0,72256565.4399,32.5864,0,55938543.5948,32.5877,0,247737344.9229,32.5873,0,25882708.0309,32.5858,0,19055586.4533,32.5864,0,15764475.319,32.5821,0,1733866433.7747,32.5762,0,18842962.1018,32.5779,0,10443629.4955,32.5822,0,18061112.0266,32.5803,0,20160113.1534,32.581,0,39404718.5471,32.5805,0,12209702.7596,32.5796,0,35382308.7032,32.5825,0,11559243.9564,32.5784,0,13759260.4544,32.5804,0,108360791.3062,32.5792,0,8890816.9783,32.5789,0,8101362.8447,32.5779,0,18248844.132,32.5758,0,11330268.869,32.5777,0,216703923.7337,32.5805,0,12209702.7596,32.5805,0,8756459.3051,32.58,0,12209519.7737,32.5812,0,1733814465.7689,32.5828,0,13761116.4544,32.5801,0,21671996.7637,32.5788,0,91246651.9338,32.5786,0,inf,32.5788,0,72237077.4399,32.5788,0,23749183.0712,32.5762,0,55920900.2399
2,1438,146,0.475725680589676,0.001316017936915,32.5853,0,25982037.3797,32.585,0,34642367.9964,32.5865,0,623591044.6461,32.5866,0,24943759.4102,32.5824,0,25979701.3797,32.5861,0,10569209.4972,32.5876,0,77951664.5808,32.5864,0,16853804.9747,32.5877,0,21503955.8206,32.5873,0,41573836.7329,32.5858,0,89082514.9494,32.5864,0,6928776.5326,32.5821,0,10567942.5141,32.5762,0,11988379.0722,32.5779,0,9445880.235,32.5822,0,19484647.9796,32.5803,0,7603338.933,32.581,0,17319096.8871,32.5805,0,10749598.901,32.5796,0,8312809.815,32.5825,0,34639772.4409,32.5784,0,62343679.6168,32.5804,0,38967179.9592,32.5792,0,41563468.7329,32.5789,0,7602997.0794,32.5779,0,23089896.352,32.5758,0,9304298.9789,32.5777,0,15585603.2102,32.5805,0,10749598.901,32.5805,0,18337562.3429,32.58,0,10749437.7976,32.5812,0,10567625.7684,32.5828,0,62352089.2167,32.5801,0,38966887.9592,32.5788,0,20111091.5863,32.5786,0,inf,32.5788,0,77930640.5806,32.5788,0,7511388.5246,32.5762,0,16848487.7855
3,725,253,0.266990721225739,0.000926131266169,32.5853,0,270142021.0947,32.585,0,360185741.8652,32.5865,0,14504784.7442,32.5866,0,166247918.6897,32.5824,0,270117733.0942,32.586,0,12788081.6144,32.5876,0,54032249.3459,32.5864,0,15775269.3645,32.5877,0,22281390.2134,32.5873,0,36631695.3287,32.5858,0,19827214.1121,32.5864,0,13678533.6535,32.5821,0,12786548.644,32.5762,0,36008934.3721,32.5779,0,20383471.0936,32.5822,0,22509663.9825,32.5803,0,37255287.1939,32.581,0,180071146.5269,32.5805,0,11138230.0899,32.5796,0,24278211.5874,32.5825,0,17712723.9093,32.5784,0,46971264.0437,32.5804,0,135050638.5693,32.5792,0,31314943.9222,32.5789,0,30867280.4678,32.5779,0,29597878.4128,32.5758,0,2160509862.5476,32.5777,0,38582752.0783,32.5805,0,11138230.0899,32.5805,0,6547933.8663,32.58,0,32739157.4248,32.5812,0,12786165.4014,32.5828,0,26353289.3706,32.5801,0,45016543.9651,32.5788,0,8819195.815,32.5786,0,16880412.0076,32.5788,0,54017676.5459,32.5788,0,44096078.5098,32.5762,0,240058905.1157
4,336,313,0.34716135263443,0.000723276403733,32.5853,0,25708256.0226,32.585,0,23452907.8447,32.5865,0,178250222.6235,32.5866,0,297085094.3012,32.5824,0,25705944.6379,32.586,0,19235397.9629,32.5876,0,334231109.9143,32.5864,0,62180280.3938,32.5877,0,52428523.9503,32.5873,0,27565195.9499,32.5858,0,116247641.6272,32.5864,0,14374990.4356,32.5821,0,19233092.1212,32.5762,0,23042378.979,32.5779,0,9217430.0653,32.5822,0,83543767.9562,32.5803,0,15018263.031,32.581,0,95475327.7015,32.5805,0,17358852.9656,32.5796,0,17246416.1165,32.5825,0,11047235.7117,32.5784,0,25217849.9924,32.5804,0,12852188.319,32.5792,0,11880700.5968,32.5789,0,8735720.5799,32.5779,0,24981783.8909,32.5758,0,140678063.4889,32.5777,0,12375172.7259,32.5805,0,17358852.9656,32.5805,0,20563576.1181,32.58,0,9479514.7715,32.5812,0,19232515.6608,32.5828,0,11425011.9687,32.5801,0,23868173.7639,32.5788,0,56874942.5865,32.5786,0,20883671.9891,32.5788,0,334140965.9127,32.5788,0,16399561.0569,32.5762,0,15631047.0946
5,1858,272,0.296376079320908,0.001529820263386,32.5853,0,18151836.0042,32.585,0,8067399.9983,32.5865,0,16135537.7744,32.5866,0,145220511.459,32.5824,0,18150204.0042,32.586,0,48406010.4863,32.5876,0,18153126.0042,32.5864,0,48406586.4863,32.5877,0,13202302.5343,32.5873,0,20746240.0166,32.5858,0,145216703.459,32.5864,0,5585367.9996,32.5821,0,48400207.8197,32.5762,0,7258716.7959,32.5779,0,8065660.4428,32.5822,0,inf,32.5803,0,8066251.5539,32.581,0,36298927.8648,32.5805,0,14519321.5919,32.5796,0,48396490.4864,32.5825,0,8066795.5539,32.5784,0,5583997.5381,32.5804,0,inf,32.5792,0,20741065.1594,32.5789,0,8065888.8872,32.5779,0,48393893.1531,32.5758,0,13197505.4434,32.5777,0,18147620.0042,32.5805,0,14519321.5919,32.5805,0,8066295.1094,32.58,0,14519103.9919,32.5812,0,48398757.153,32.5828,0,5584750.7688,32.5801,0,inf,32.5788,0,16131729.7744,32.5786,0,inf,32.5788,0,18148230.0042,32.5788,0,13198717.0797,32.5762,0,48391322.4864
6,3319,213,0.414361655712128,0.001135682105087,32.5853,0,32490258.2771,32.585,0,43319908.5599,32.5865,0,40433757.9068,32.5866,0,67389909.5983,32.5824,0,32487337.1342,32.586,0,55136255.7012,32.5876,0,75816000.1589,32.5864,0,1819518001.2639,32.5877,0,72783523.6556,32.5873,0,19565237.708,32.5857,0,30838640.835,32.5864,0,39554682.3755,32.5821,0,55129646.2467,32.5762,0,19771188.8399,32.5779,0,11811971.3215,32.5822,0,56852467.8842,32.5803,0,82689873.0065,32.581,0,41345835.7851,32.5805,0,36383713.1878,32.5796,0,38705078.3178,32.5825,0,43316662.8456,32.5784,0,27561652.38,32.5804,0,113698761.178,32.5792,0,51974670.6147,32.5789,0,17161276.3544,32.5779,0,27985248.5581,32.5758,0,31910999.507,32.5777,0,15158598.3816,32.5805,0,36383713.1878,32.5805,0,14911366.298,32.58,0,10219990.2927,32.5812,0,55127993.8831,32.5828,0,27565370.1982,32.5801,0,37899304.0794,32.5788,0,139929975.3368,32.5786,0,inf,32.5788,0,75795552.1588,32.5788,0,17324704.9097,32.5762,0,1818944177.3291
7,5400,150,0.343790620565414,0.000700188975316,32.5853,0,80081623.4593,32.585,0,7449377.4895,32.5865,0,49282746.9428,32.5866,0,128135744.4773,32.5824,0,80074423.4593,32.586,0,640667760.4866,32.5876,0,26695775.9751,32.5864,0,19414405.8412,32.5877,0,91528575.6103,32.5873,0,213564228.7735,32.5858,0,23728220.4837,32.5864,0,5824314.1813,32.5821,0,640590960.4885,32.5762,0,6961684.8701,32.5779,0,6279493.6498,32.5822,0,20018474.0396,32.5803,0,7448317.0244,32.581,0,14558394.1991,32.5805,0,8212285.5455,32.5796,0,13072282.1041,32.5825,0,7448819.35,32.5784,0,5083471.239,32.5804,0,40034776.0792,32.5792,0,213510980.7723,32.5789,0,7447982.1407,32.5779,0,19409314.9321,32.5758,0,25618687.9523,32.5777,0,80063023.4594,32.5805,0,8212285.5455,32.5805,0,9150838.8547,32.58,0,8212162.4686,32.5812,0,640571760.4889,32.5828,0,5084156.9533,32.5801,0,13344823.9876,32.5788,0,33711818.0326,32.5786,0,inf,32.5788,0,26688575.9751,32.5788,0,8774328.1154,32.5762,0,19408285.1139
8,4973,150,0.325396716594696,0.000500205380376,32.5853,0,8897957.325,32.585,0,29120296.7618,32.5865,0,49282746.9428,32.5866,0,128135744.4773,32.5824,0,8897157.325,32.586,0,640667760.4866,32.5876,0,26695775.9751,32.5864,0,20666950.1588,32.5877,0,9023945.0086,32.5873,0,9562576.2465,32.5858,0,23728220.4837,32.5864,0,13927706.4359,32.5821,0,640590960.4885,32.5762,0,17790975.9834,32.5779,0,16855481.2888,32.5822,0,20018476.0396,32.5803,0,29116151.3072,32.581,0,14558394.1991,32.5805,0,45754166.6623,32.5796,0,13072282.1041,32.5825,0,29118114.9436,32.5784,0,10330924.393,32.5804,0,40034776.0792,32.5792,0,9560193.9182,32.5789,0,29114842.2163,32.5779,0,20661530.8039,32.5758,0,16422237.5526,32.5777,0,80063023.4594,32.5805,0,45754166.6623,32.5805,0,9150838.8547,32.58,0,45753480.9481,32.5812,0,640571760.4889,32.5828,0,10332317.9414,32.5801,0,13344823.9876,32.5788,0,33711818.0326,32.5786,0,inf,32.5788,0,26688575.9751,32.5788,0,11645928.7411,32.5762,0,20660430.4169
9,3668,270,0.283464103937149,0.000546855968423,32.5853,0,48048975.8434,32.585,0,8120870.7605,32.5865,0,14597675.7496,32.5866,0,15797556.583,32.5824,0,48044655.8434,32.586,0,21758529.2313,32.5876,0,144157182.0197,32.5864,0,54915035.414,32.5877,0,88712310.8656,32.5873,0,12139439.1638,32.5857,0,28126620.164,32.5864,0,16474486.8528,32.5821,0,21755920.9294,32.5762,0,8234678.855,32.5779,0,12265052.5831,32.5822,0,36033256.0713,32.5803,0,14782045.5618,32.581,0,41179455.989,32.5805,0,11303969.8873,32.5796,0,31161492.7787,32.5825,0,8120262.3098,32.5784,0,7686207.9943,32.5804,0,24020864.0475,32.5792,0,34938158.4981,32.5789,0,5596832.9354,32.5779,0,13563685.6664,32.5758,0,25618687.9523,32.5777,0,28822687.9664,32.5805,0,11303969.8873,32.5805,0,9150838.8547,32.58,0,11303800.4755,32.5812,0,21755268.8539,32.5828,0,7687244.7943,32.5801,0,72062056.1426,32.5788,0,67820242.5189,32.5786,0,inf,32.5788,0,144118302.0202,32.5788,0,7343609.4724,32.5762,0,54897718.8425
