,label,nbPixels,meanB0,varB0,mean__012019,nan___012019,mean_div_std,mean__022019,nan___022019,mean_div_std,mean__032019,nan___032019,mean_div_std,mean__042019,nan___042019,mean_div_std,mean__052019,nan___052019,mean_div_std,mean__062019,nan___062019,mean_div_std,mean__072019,nan___072019,mean_div_std,mean__082019,nan___082019,mean_div_std,mean__092019,nan___092019,mean_div_std,mean__102019,nan___102019,mean_div_std,mean__112019,nan___112019,mean_div_std,mean__122019,nan___122019,mean_div_std,mean__012020,nan___012020,mean_div_std,mean__022020,nan___022020,mean_div_std,mean__032020,nan___032020,mean_div_std,mean__042020,nan___042020,mean_div_std,mean__052020,nan___052020,mean_div_std,mean__062020,nan___062020,mean_div_std,mean__072020,nan___072020,mean_div_std,mean__082020,nan___082020,mean_div_std,mean__092020,nan___092020,mean_div_std,mean__102020,nan___102020,mean_div_std,mean__112020,nan___112020,mean_div_std,mean__122020,nan___122020,mean_div_std,mean__012021,nan___012021,mean_div_std,mean__022021,nan___022021,mean_div_std,mean__032021,nan___032021,mean_div_std,mean__042021,nan___042021,mean_div_std,mean__052021,nan___052021,mean_div_std,mean__062021,nan___062021,mean_div_std,mean__072021,nan___072021,mean_div_std,mean__082021,nan___082021,mean_div_std,mean__092021,nan___092021,mean_div_std,mean__102021,nan___102021,mean_div_std,mean__112021,nan___112021,mean_div_std,mean__122021,nan___122021,mean_div_std,mean__012022,nan___012022,mean_div_std,mean__022022,nan___022022,mean_div_std,mean__032022,nan___032022,mean_div_std
0,142,194,0.281380951404572,0.001297718496062,0.0599,0,2.6932,0.0568,0,3.1573,0.0575,0,3.4886,0.0633,0,4.0495,0.1055,0,2.5986,0.153,0,3.9394,0.1689,0,2.9812,0.1684,0,3.1402,0.1529,0,2.854,0.1578,0,3.8207,0.1284,0,3.2194,0.0902,0,3.6595,0.0651,0,3.6775,0.0559,0,3.1194,0.0563,0,3.3634,0.0706,0,2.5162,0.0731,0,2.6544,0.1267,0,3.5417,0.1728,0,3.0633,0.1425,0,2.9304,0.1631,0,3.6236,0.1523,0,3.4618,0.102,0,3.8258,0.0603,0,2.9189,0.0562,0,2.9529,0.0511,0,2.5739,0.0716,0,3.1017,0.0717,0,2.7849,0.1038,0,3.4343,0.1044,0,2.8431,0.0959,0,3.6797,0.1419,0,3.1981,0.1597,0,3.063,0.1286,0,3.5758,0.0926,0,2.8037,0.0702,0,3.7633,0.0512,0,2.3823,0.049,0,3.3887,0.0483,0,2.8351
1,691,203,0.396434605121613,0.000726359896362,0.0806,0,3.1172,0.0718,0,2.6273,0.0898,0,3.7597,0.0883,0,3.9837,0.1283,0,2.4879,0.1856,0,5.0446,0.1907,0,3.4181,0.1804,0,4.3076,0.1736,0,4.0241,0.1963,0,4.3539,0.1639,0,3.1749,0.1331,0,4.1898,0.0973,0,3.9682,0.0757,0,3.7333,0.0923,0,4.2,0.093,0,3.4575,0.1109,0,3.8768,0.1527,0,3.024,0.1914,0,4.6293,0.1773,0,3.496,0.1776,0,3.8665,0.1788,0,3.5399,0.143,0,4.1195,0.0888,0,3.5945,0.0748,0,3.3763,0.0668,0,3.0401,0.0907,0,3.7431,0.0959,0,3.5674,0.1356,0,3.3336,0.1558,0,3.553,0.1209,0,3.1839,0.1656,0,5.1264,0.1877,0,4.1564,0.175,0,3.5821,0.1375,0,3.1266,0.1014,0,3.9207,0.0762,0,3.3852,0.0677,0,4.0254,0.0751,0,3.2929
2,1438,146,0.475725680589676,0.001316017936915,0.1023,0,3.3669,0.099,0,3.0131,0.0952,0,3.9332,0.1128,0,3.5941,0.1383,0,2.3318,0.1813,0,3.6186,0.2065,0,3.8498,0.2205,0,4.2872,0.1794,0,2.8582,0.2002,0,3.7666,0.1813,0,3.7584,0.1327,0,3.4185,0.1188,0,3.5061,0.1118,0,3.053,0.1117,0,4.0558,0.1289,0,3.4695,0.1252,0,4.1028,0.1679,0,3.2333,0.1872,0,3.6323,0.1941,0,2.9366,0.1759,0,3.7194,0.1858,0,3.2875,0.144,0,4.5789,0.1184,0,2.9517,0.1073,0,3.698,0.0931,0,3.3548,0.1246,0,4.3217,0.1122,0,3.8326,0.1472,0,3.6344,0.1556,0,3.9521,0.149,0,3.1672,0.1575,0,3.2716,0.1948,0,3.0823,0.1698,0,3.9769,0.143,0,3.6265,0.1344,0,4.3623,0.1081,0,2.9058,0.1015,0,3.4625,0.0972,0,2.9639
3,725,253,0.266990721225739,0.000926131266169,0.054,0,3.1446,0.0501,0,3.2288,0.0515,0,3.3508,0.0565,0,3.6548,0.1038,0,1.9203,0.1506,0,3.6846,0.1372,0,3.0458,0.1474,0,3.913,0.1353,0,4.2443,0.1551,0,3.7736,0.1297,0,2.4512,0.093,0,3.4599,0.0632,0,3.7565,0.0626,0,2.9208,0.0567,0,3.1116,0.063,0,2.8215,0.0725,0,3.9935,0.1214,0,3.298,0.1569,0,3.5286,0.1249,0,2.7266,0.1312,0,3.4738,0.1363,0,3.7858,0.0837,0,3.5165,0.0537,0,3.0078,0.0516,0,3.1238,0.049,0,3.041,0.0619,0,3.4662,0.0562,0,2.9688,0.0709,0,3.8661,0.0908,0,3.5585,0.0872,0,2.9023,0.128,0,3.8162,0.157,0,3.1901,0.1246,0,4.529,0.0842,0,3.3259,0.0575,0,3.4585,0.0485,0,3.1692,0.0478,0,3.0282,0.0441,0,2.4791
4,336,313,0.34716135263443,0.000723276403733,0.0721,0,2.6543,0.068,0,3.2583,0.0698,0,3.4988,0.0735,0,3.305,0.1223,0,2.3804,0.1642,0,3.5295,0.1758,0,3.2879,0.1818,0,3.5726,0.1669,0,3.1644,0.1781,0,3.9261,0.1482,0,3.3,0.1077,0,3.228,0.0764,0,3.077,0.0678,0,2.5462,0.0743,0,3.3036,0.0792,0,2.9903,0.0927,0,3.0966,0.1384,0,3.3921,0.1773,0,4.1111,0.1504,0,2.8671,0.1602,0,3.7913,0.1767,0,3.3623,0.1176,0,3.5798,0.0821,0,3.0555,0.0686,0,3.3256,0.0582,0,2.3944,0.0821,0,3.8818,0.0831,0,2.9201,0.1089,0,3.3913,0.1255,0,3.6128,0.106,0,2.7965,0.1462,0,3.7856,0.1873,0,3.7809,0.1416,0,3.9352,0.1167,0,2.9386,0.0804,0,3.9226,0.0644,0,2.2955,0.0605,0,3.2526,0.0585,0,2.8735
5,1858,272,0.296376079320908,0.001529820263386,0.0616,0,2.4623,0.0567,0,2.5455,0.0567,0,2.9046,0.0636,0,2.9873,0.1247,0,1.3941,0.1575,0,3.3714,0.1752,0,2.6514,0.1658,0,2.9078,0.1719,0,2.1229,0.1677,0,3.4246,0.1625,0,3.3296,0.0901,0,2.832,0.066,0,3.0848,0.059,0,2.1097,0.0534,0,3.0653,0.0692,0,2.552,0.078,0,2.7711,0.1372,0,2.6156,0.151,0,4.1334,0.1288,0,2.9989,0.1358,0,3.144,0.1367,0,3.3356,0.0881,0,3.266,0.0628,0,2.2488,0.0532,0,2.4798,0.0554,0,2.0406,0.0689,0,2.4591,0.0601,0,2.0664,0.0799,0,2.6369,0.0952,0,2.7931,0.0971,0,2.3597,0.1206,0,3.1221,0.1675,0,2.7722,0.1387,0,3.312,0.087,0,2.8815,0.0654,0,2.8848,0.0499,0,2.4442,0.052,0,2.0941,0.0566,0,1.8931
6,3319,213,0.414361655712128,0.001135682105087,0.0984,0,2.6854,0.0884,0,2.8505,0.0782,0,3.7327,0.0875,0,3.9221,0.1358,0,2.6409,0.1579,0,3.742,0.1783,0,3.6216,0.1913,0,3.6589,0.1527,0,3.1349,0.1818,0,3.5577,0.164,0,3.1656,0.1239,0,3.9682,0.0998,0,3.1862,0.1065,0,2.316,0.0909,0,3.6707,0.1076,0,3.081,0.1033,0,4.2568,0.1522,0,3.4463,0.1858,0,3.7578,0.1568,0,3.0236,0.1723,0,3.5894,0.1837,0,3.4096,0.1214,0,3.6861,0.115,0,2.7921,0.093,0,3.6341,0.082,0,2.8801,0.1057,0,3.5231,0.1001,0,3.3014,0.13,0,3.7165,0.1328,0,4.4889,0.1217,0,2.9398,0.1509,0,3.581,0.2017,0,3.492,0.1607,0,4.3856,0.1111,0,2.7236,0.1041,0,3.3866,0.0822,0,3.1222,0.0838,0,3.3998,0.0838,0,2.4663
7,5400,150,0.343790620565414,0.000700188975316,0.0811,0,2.717,0.069,0,2.9434,0.0829,0,3.5477,0.0779,0,3.8635,0.1225,0,2.5125,0.1366,0,3.6474,0.1688,0,3.5719,0.1731,0,4.9462,0.1679,0,3.8145,0.1655,0,4.1195,0.1343,0,3.4407,0.1175,0,3.3105,0.0777,0,3.3269,0.0717,0,3.0278,0.075,0,3.6004,0.0853,0,2.7452,0.0845,0,3.4988,0.1511,0,3.2957,0.1757,0,4.317,0.1429,0,3.2131,0.1413,0,3.9343,0.1613,0,3.4711,0.1125,0,3.5126,0.0979,0,3.1859,0.0746,0,3.4956,0.0625,0,2.9007,0.0853,0,3.535,0.0764,0,3.3628,0.1087,0,3.6786,0.1186,0,3.9812,0.0977,0,2.9244,0.1323,0,4.0316,0.1653,0,3.1287,0.1368,0,3.227,0.1024,0,4.1312,0.0789,0,3.1114,0.0714,0,2.8739,0.0604,0,2.0484,0.0704,0,2.122
8,4973,150,0.325396716594696,0.000500205380376,0.0724,0,2.7075,0.0625,0,3.606,0.0842,0,3.0739,0.0928,0,4.5566,0.1135,0,2.6562,0.1686,0,4.7776,0.2041,0,3.2054,0.2038,0,3.7217,0.2049,0,3.522,0.2008,0,3.9398,0.1832,0,3.197,0.1395,0,3.9259,0.0868,0,3.9643,0.0831,0,2.4594,0.0778,0,4.076,0.0912,0,2.8546,0.1032,0,3.279,0.1742,0,3.841,0.1761,0,3.3574,0.1646,0,3.8605,0.1944,0,3.6192,0.1752,0,3.7341,0.1198,0,3.9654,0.0971,0,3.4926,0.0759,0,3.5499,0.0636,0,2.9716,0.1,0,2.6762,0.0857,0,2.6464,0.1086,0,4.2874,0.1295,0,3.4049,0.1128,0,3.1913,0.1558,0,3.6259,0.1841,0,3.4849,0.1587,0,4.521,0.1039,0,3.3321,0.0879,0,4.7037,0.0718,0,3.182,0.0637,0,4.1066,0.0681,0,3.7056
9,3668,270,0.283464103937149,0.000546855968423,0.0578,0,3.2415,0.0559,0,3.0157,0.0608,0,3.5694,0.0792,0,3.993,0.1213,0,2.0046,0.1635,0,3.6624,0.1635,0,2.655,0.1739,0,4.4918,0.1686,0,3.6084,0.1739,0,3.9908,0.1611,0,2.867,0.102,0,3.6067,0.0698,0,3.7665,0.0655,0,2.7448,0.071,0,3.6913,0.0849,0,3.139,0.0967,0,3.8752,0.1502,0,3.0364,0.1524,0,3.9428,0.1366,0,3.1971,0.1591,0,3.5875,0.1626,0,3.3445,0.1163,0,3.7216,0.0715,0,2.7661,0.0671,0,3.3855,0.0578,0,2.9511,0.0824,0,3.5307,0.0777,0,2.9908,0.0984,0,3.4972,0.121,0,3.5838,0.0898,0,2.5518,0.1486,0,3.6113,0.2005,0,3.3135,0.1433,0,4.1624,0.1109,0,3.3947,0.0749,0,3.9228,0.0716,0,3.1851,0.0653,0,3.4951,0.0523,0,2.975
