ID_PARCEL	Estimation
1074068	17.23
9604694	12.70
1088764	8.58
1088761	15.99
9604695	7.20
1088760	14.79
9604696	6.93
1088763	9.67
9604697	13.80
1088759	10.04
1088758	15.13
1088683	14.01
1088684	15.13
9606319	3.81
1075323	4.97
1075322	6.13
9606320	5.28
1075318	8.40
1075315	15.76
1075316	3.05
9607551	6.94
9607571	22.86
3448020	10.18
1075321	5.41
1098744	22.22
3507862	25.34
9608211	14.72
9608353	19.21
3545695	15.92
3036982	7.46
10011371	7.09
10011372	3.82
3026755	22.96
3026756	14.41
3012833	15.98
3012835	9.01
3012834	6.06
3012832	11.50
3012830	7.06
3012829	10.55
3012828	7.91
3012827	15.82
3027751	4.39
3027761	20.90
3027760	3.56
3027754	9.88
2986594	7.48
2986593	6.53
2986596	20.23
2986595	4.59
2986604	21.47
2986598	13.27
2986603	17.81
2986606	14.97
2991725	8.52
2991724	5.43
3003064	11.73
3003051	16.18
2991512	9.80
3025754	10.20
3025756	7.95
3042867	21.75
3042869	8.00
3026526	10.39
3049903	20.16
3049902	12.81
10012320	9.53
3044290	11.45
3044278	6.73
3044280	20.28
3044279	5.36
3044276	9.82
3008553	12.85
3008554	14.93
3008555	12.27
3008556	14.31
3026521	18.49
10012334	4.45
2990042	12.88
2990047	5.55
2990045	16.68
2990123	11.12
2991389	7.61
2991387	12.42
2991383	12.01
2991392	5.55
2991394	16.79
10012386	15.99
3016911	16.36
3016903	7.71
3016909	28.03
3017209	18.04
3016904	21.59
3016913	20.11
3016908	25.80
3017205	26.92
3017208	12.18
3016910	23.65
3016906	12.66
3017210	22.02
3016914	28.68
3017204	28.24
3017207	9.73
3016901	23.50
3016982	10.04
3016984	16.35
3016912	19.24
3017212	25.30
3017206	12.37
3016902	10.59
3016981	27.16
3016907	22.67
3016980	26.30
3017203	18.10
3017211	18.50
3016905	26.08
3016983	18.21
3047321	25.58
3047319	23.00
3047322	22.29
3047316	22.08
3047318	21.64
3047314	22.26
3047317	21.30
3047315	28.44
3047320	26.15
3000144	9.32
3027188	21.16
10012458	20.74
3000695	9.64
3032734	20.49
3026625	8.00
3000765	28.24
10012459	13.44
3045477	6.42
3045478	7.70
3045464	14.51
3045465	4.65
3045468	10.23
3045466	7.67
3045476	5.50
3045474	4.10
3045472	3.59
3045471	5.61
3045470	6.82
3045473	3.76
3045475	4.36
3045479	6.60
3045467	5.78
3045469	7.20
3013223	7.24
2991468	7.07
2991471	14.87
2991472	17.47
2991397	4.87
2991470	6.07
2991469	7.64
2991466	9.55
2991395	5.52
2991396	9.66
2991393	5.73
2991467	4.74
2991384	16.11
2991391	7.90
2991386	10.16
2991385	2.47
2991388	6.86
2991390	13.74
3030465	22.56
3031839	5.00
3011511	8.62
3042569	6.67
3052222	14.21
3052221	28.07
3052220	20.07
3052223	10.88
3016836	5.20
3016918	13.88
3016917	20.93
3016916	17.14
10012697	18.50
2999115	18.11
2999117	5.52
3044982	22.51
10013038	6.87
10013039	4.22
2989970	14.50
2989972	13.55
2989975	18.65
3004101	19.54
10013392	5.50
10013393	11.89
10013394	5.42
3004026	14.19
3004028	14.70
3004027	13.85
3004014	16.12
3004102	15.45
3004024	20.38
3004023	15.10
3004017	7.80
3004016	10.23
3004096	13.53
3004015	28.58
3004021	8.71
3004022	22.63
3004097	6.63
3004095	8.19
3004012	6.36
3004013	16.05
3004011	27.39
10013405	18.97
3001545	15.65
3001548	5.68
10013406	14.58
3001543	5.77
3001549	8.80
3001546	13.00
3001544	17.88
10013407	13.65
10013408	13.77
10013409	13.29
10013410	17.44
3001552	13.85
3001542	15.10
10013411	18.71
10013412	13.04
3001621	27.27
3001550	17.18
3001551	14.86
3001619	10.54
3001618	19.29
3001617	13.82
3001620	8.45
10013461	9.69
3047825	16.00
3047824	6.38
3047823	5.16
3002490	20.79
3005704	7.96
10013719	10.61
3032557	6.98
3032555	9.63
10013720	13.08
10013721	15.71
3032730	11.74
3032651	8.07
10013722	2.52
10013723	9.11
3032729	8.89
10013724	27.35
3032722	22.20
3032653	12.42
3032732	17.58
10013839	18.88
10013840	10.41
3049754	17.77
3049753	14.91
3069678	19.55
3049759	12.97
3049821	23.55
3049757	14.69
10013977	6.62
2992730	16.54
2994409	17.08
2994411	14.69
2994410	2.90
2992727	11.04
2992726	14.71
2994413	9.34
2992736	7.48
2994407	14.05
2992738	4.74
10014088	3.83
2994403	10.84
2994404	5.62
2992733	21.69
2992729	6.21
2994398	26.22
2992732	12.98
2994841	14.34
2994840	19.12
3039662	15.68
3039669	13.57
3039670	12.43
3039671	14.06
3039673	5.99
3039675	17.38
3039674	7.16
3039743	14.85
3039664	15.39
3039665	2.87
3039663	6.28
3039668	26.48
3039677	11.25
3039667	19.67
3039672	11.10
3039676	20.43
3049956	8.99
3030043	13.80
2985706	6.37
2985710	20.58
3023500	12.10
3023499	14.10
3023503	4.74
3023502	13.49
3023501	9.80
3023508	18.41
3023509	9.40
3023505	13.80
3023506	10.89
3023510	13.93
3023507	15.50
3023497	10.06
3023496	14.67
3023504	8.91
3023498	7.44
3023511	14.86
3036420	9.52
3044259	10.49
3044258	27.28
3044261	9.92
3044256	19.29
3044262	13.70
3044257	11.18
3044260	17.58
3056200	23.36
3056131	20.12
3056130	19.26
3056128	11.26
3056129	19.83
3056125	19.47
3056201	19.54
3056126	9.35
3056127	20.49
3056124	17.18
3056121	12.08
3056202	18.69
3056205	21.59
3056208	22.86
3056207	9.33
3056206	13.51
3056204	8.90
10015156	5.90
10015173	4.62
10015174	12.08
3056122	25.69
3056123	10.97
10015175	22.21
10015176	12.31
3036658	8.25
3036749	24.93
3036752	25.42
3036750	9.39
3036751	15.61
10015229	16.09
3036659	8.24
3036757	9.76
3036748	9.30
1090217	8.07
3036747	4.75
3033742	13.78
3033743	6.88
3033750	7.76
3033749	5.20
3033744	13.26
3033747	14.18
3033748	7.40
3033741	6.04
3033746	13.06
3033745	20.64
3027853	8.68
3027770	17.13
3027854	4.02
3027768	10.05
3027847	8.05
3027772	13.17
3027767	7.15
10015327	14.41
3027769	4.17
3027850	13.81
3027852	27.90
3027851	12.94
3027849	3.55
3027848	6.50
10015328	13.49
10015329	22.52
2986904	13.54
2986908	10.32
2986984	19.97
2986905	10.66
2986983	7.17
2986987	8.26
2986986	9.59
2986901	11.95
2986903	10.94
2986982	12.69
2986902	2.45
2986988	11.72
2986900	10.01
3010904	14.57
3010996	10.02
10015725	6.74
2985413	12.61
2985408	8.25
2985423	21.75
2985424	13.15
2985419	22.11
2985420	8.83
2985401	22.96
2985412	20.91
2985410	13.75
2985403	10.99
3050125	20.60
3050188	16.09
3040369	8.40
3040370	11.55
3040286	7.36
3040294	17.19
3040293	23.89
3040295	10.61
3040297	15.32
2994238	20.64
2994239	3.11
2994253	20.71
2995298	26.09
2995375	24.47
2995293	24.47
3050130	5.80
3050127	12.81
3050128	16.05
3050126	12.70
3050129	11.72
3050202	5.88
3050203	7.53
3050204	6.33
3050197	21.37
3050198	16.18
3050199	25.14
3032539	23.96
3032601	23.46
3002676	13.15
10016254	22.44
3002607	13.55
3002612	15.19
3002606	21.41
3002611	3.07
10016297	11.28
10016298	12.04
10016299	24.18
10016300	18.89
3006247	23.77
3006246	6.70
10016301	16.95
10016302	13.48
10016303	6.44
10016304	27.34
